IP;Occurrences
106.13.24.47;2
109.235.25.43;2
112.124.42.80;1
109.235.25.43;2
117.136.26.30;10
118.24.97.147;939
119.39.46.126;1
123.125.114.144;1
123.160.174.146;1
124.88.112.215;1
128.14.133.58;1
128.14.134.170;1
138.122.20.76;1
138.204.132.211;1
14.231.97.7;1
141.8.183.79;2
159.203.76.218;1
162.243.130.23;1
167.172.97.0;1
172.104.242.173;1
175.152.109.245;1
175.184.165.143;1
176.9.193.37;2
178.128.6.69;6
182.138.158.201;1
183.129.159.242;1
184.154.47.2;1
187.226.248.9;1
190.122.159.217;1
190.138.5.95;1
190.94.150.99;1
191.100.8.216;1
2.238.139.133;1
201.1.87.161;2
212.75.249.210;1
213.159.213.137;1
219.140.116.66;1
220.143.85.88;1
221.225.77.197;1
222.82.60.115;1
223.167.74.196;1
24.12.69.236;1
31.43.152.44;2
36.80.37.244;1
37.201.222.32;1
42.236.10.108;1
42.236.10.109;1
46.19.227.218;1
46.19.227.218;1
54.214.64.205;1
54.36.148.206;1
54.36.149.48;1
54.36.150.115;1
54.36.150.13;1
54.36.150.180;1
54.36.150.19;1
60.191.52.254;1
60.216.141.137;1
61.2.153.204;2
62.173.148.243;1
62.173.149.158;2
62.173.149.52;1
71.6.232.4;1
77.247.110.63;6
83.219.136.119;1
89.36.51.161;1
91.217.79.207;1
91.234.102.36;1
